"datetime","hour","Q_m3.s","No3_mg.l","T2M","TP","CP","LSP","RO","ROS","ROSS","VSWL1","VSWL2","VSWL3","VSWL4","SNSR"
2016-10-04 11:00:00,11,1.8179416,1.32,17.9253713470441,0.65225,0.64544,0.00673,0.00528,0.00528,0,0.27675107,0.29873452,0.28664652,0.21251432,0
2016-10-04 12:00:00,12,1.7981198,1.31,17.5980113760151,0.06592,0.06199,0.00471,0.00049,0.00049,0,0.27735851,0.29867387,0.28664652,0.21251432,0
2016-10-04 13:00:00,13,1.7882089,1.32,17.4992389709632,0.0065,0.00357,0.00247,0,0,0,0.27756265,0.29859455,0.28664652,0.21252939,16352.29144095
2016-10-04 14:00:00,14,1.7882089,1.31,18.5020140546326,0.00192,0.00125,0.00067,0,0,0,0.27754273,0.29850124,0.28663528,0.21252939,251733.1626051
2016-10-04 15:00:00,15,1.7889168,1.3,19.5988580954942,0.00048,0,0.00067,0,0,0,0.27722407,0.29834727,0.28661561,0.21252939,642575.95944028
2016-10-04 16:00:00,16,1.7882089,1.31,21.7436303194775,0,0,0,0,0,0,0.2762432,0.29802067,0.28657908,0.21252939,1407586.82212015
2016-10-04 17:00:00,17,1.7591841,1.32,23.7708163469705,0.00024,0.00036,0,0,0,0,0.27469472,0.29755877,0.2864976,0.21252939,1860660.45201654
2016-10-04 18:00:00,18,1.8080307,1.33,24.4650452510493,0.01179,0.01197,0,0,0,0,0.27307155,0.29706421,0.28642454,0.21252939,1528087.0880625
2016-10-04 19:00:00,19,1.7882089,1.3,25.5496603274759,0.00313,0.00143,0.00157,0,0,0,0.27164754,0.29663963,0.28635711,0.21252939,1226836.42320663
2016-10-04 20:00:00,20,1.7591841,1.29,26.4837650723949,0.00818,0.00786,0,0,0,0,0.27027333,0.29618706,0.28628686,0.21253501,1516525.32707186
2016-10-04 21:00:00,21,1.759892,1.3,27.2551305213714,0.01853,0.01822,0.00045,0.00021,0.00021,0,0.2689489,0.29572516,0.2862138,0.21253501,1315691.55050127
2016-10-04 22:00:00,22,1.7591841,1.28,27.5091167057905,0.06544,0.04055,0.02468,0.00063,0.00021,0,0.26749004,0.29416216,0.28573051,0.21252939,1060687.92960798
2016-10-04 23:00:00,23,1.7209564,1.3,26.5044602429772,0.07771,0.07449,0.00269,0.00035,0.00035,0,0.26676808,0.29382156,0.28568274,0.21252939,551141.31574932
2016-10-05 00:00:00,0,1.7326501,1.2964491,23.9138011619027,0,0,0,0,0,0,0.26652411,0.29366293,0.28566307,0.21253501,197471.19269681
2016-10-05 01:00:00,1,1.7326501,1.2964491,21.4162703484484,0,0,0,0,0,0,0.266549,0.29356962,0.28565746,0.21253501,921.25585583
2016-10-05 02:00:00,2,1.7302138,1.2955383,19.2545657121706,0,0,0,0,0,0,0.26651913,0.29347164,0.28566027,0.21253501,0
2016-10-05 03:00:00,3,1.7186332,1.2921078,16.6460335292295,0,0,0,0,0,2e-05,0.26653904,0.29338766,0.28564622,0.21254122,0
2016-10-05 04:00:00,4,1.721281,1.2980477,15.7881246396362,0,0,0,0,0,0,0.2666436,0.29329901,0.28564341,0.21254122,0
2016-10-05 05:00:00,5,1.7306091,1.3041158,15.1023619417047,0,0,0,0,0,0,0.26681787,0.29322436,0.2856406,0.21254122,0
2016-10-05 06:00:00,6,1.7243895,1.2999243,13.8662958441985,0,0,0,0,0,0,0.26700209,0.29313571,0.28563779,0.21254654,0
2016-10-05 07:00:00,7,1.7324852,1.2953001,12.4467952801675,0,0,0,0,0,0,0.26718632,0.29307039,0.28562374,0.21254654,0
2016-10-05 08:00:00,8,1.7286888,1.289983,12.6838490522919,0,0,0,0,0,0,0.26737552,0.29298641,0.28562374,0.21254654,0
2016-10-05 09:00:00,9,1.7313359,1.2914793,11.699887760061,0,0,0,0,0,0,0.26755477,0.29291176,0.28562093,0.21254654,0
2016-10-05 10:00:00,10,1.7371028,1.3012818,10.4751099374179,0,0,0,0,0,0,0.26975551,0.29329901,0.28597778,0.21254654,0
2016-10-05 11:00:00,11,1.7341814,1.3055051,11.226720905384,0,0,0,0,0,0,0.26993475,0.29323835,0.28597216,0.21255215,0
2016-10-05 12:00:00,12,1.7426174,1.3078452,11.1279485003321,0,0,0,0,0,0,0.27013889,0.29316837,0.28597497,0.21255215,0
2016-10-05 13:00:00,13,1.7346606,1.3057336,11.5823015635707,0.00289,0,0.00292,0,0,0,0.27036295,0.29309372,0.28597497,0.21256191,15016.47045
2016-10-05 14:00:00,14,1.7309441,1.3006638,14.2698516705533,0.01179,0,0.01167,0,0,0,0.27055713,0.2930284,0.28596935,0.21256753,207927.44666046
2016-10-05 15:00:00,15,1.7379265,1.3024504,17.2885245068526,0.00746,0,0.0074,0,0,0,0.27068659,0.29294908,0.28595811,0.21256753,368179.9027818
2016-10-05 16:00:00,16,1.738568,1.3012512,17.9639396194929,0.07795,0.00643,0.07113,0.00076,0.00076,0,0.27128905,0.29283244,0.28594687,0.21256753,606508.7926846
2016-10-05 17:00:00,17,1.7429284,1.2952835,19.4408222474112,0.23289,0.01751,0.21541,0.00167,0.00167,0,0.27326573,0.29267847,0.2859272,0.21256753,713650.84871744
2016-10-05 18:00:00,18,1.7392948,1.3063852,20.5988111104478,0.65033,0.35836,0.29215,0.00438,0.00438,0,0.27689048,0.29251517,0.28589629,0.21257285,1047375.78249126
2016-10-05 19:00:00,19,1.7483274,1.2997194,22.5733185219131,0.29545,0.03073,0.26433,0.00188,0.00188,0,0.27756763,0.29226323,0.28585414,0.21257285,971602.48834938
2016-10-05 20:00:00,20,1.7517552,1.3017152,23.8244356525701,0.21774,0.13952,0.07741,0.00111,0.00111,0,0.27697014,0.2919133,0.28580919,0.21257285,858656.52042482
2016-10-05 21:00:00,21,1.7440478,1.3042237,24.6362507531392,0.03681,0.02269,0.01391,0.00021,0.00021,0,0.27565568,0.29151672,0.28573894,0.21257285,1135724.2190652
2016-10-05 22:00:00,22,1.7402363,1.2992083,23.6739253210624,0.00433,0.00268,0.0018,0,0,0,0.27857838,0.29125077,0.28547201,0.21257846,932587.30285505
2016-10-05 23:00:00,23,1.7517207,1.2989903,23.9899970172284,0.00337,0,0.00337,0,0,0,0.2780506,0.29106881,0.28544391,0.21257846,685460.41952909
2016-10-06 00:00:00,0,1.6957254,1.2486096,23.7858673801212,0,0,0,0,0,0,0.27805558,0.29102216,0.28543829,0.21257846,214882.92837197
2016-10-06 01:00:00,1,1.6957254,1.2486096,21.276107602232,0,0,0,0,0,0,0.27813524,0.2909755,0.28543548,0.21257846,506.69072071
2016-10-06 02:00:00,2,1.6758129,1.2328201,18.6337105947017,0,0,0,0,0,0,0.27820993,0.29093817,0.28542143,0.21259354,0
2016-10-06 03:00:00,3,1.6791081,1.2283889,17.9799313422156,0,0,0,0,0,0,0.27829457,0.29090085,0.28542424,0.21259354,0
2016-10-06 04:00:00,4,1.6677964,1.2315883,17.6252913736008,0,0,0,0,0,0,0.27836926,0.29086352,0.28541862,0.21259354,0
2016-10-06 05:00:00,5,1.6702708,1.2369878,16.9235369529466,0,0,0,0,0,0,0.27844394,0.29083086,0.285413,0.21259354,0
2016-10-06 06:00:00,6,1.6701603,1.2336048,16.6413300813699,0,0,0,0,0,0,0.27852858,0.2907982,0.285413,0.21259916,0
2016-10-06 07:00:00,7,1.6696533,1.2309818,16.1766294328402,0,0,0,0,0,0,0.27860825,0.29076554,0.28539895,0.21259916,0
2016-10-06 08:00:00,8,1.6607361,1.2267741,16.1879177077033,0.00674,0,0.00673,0,0,0,0.27868294,0.29072822,0.28540176,0.21259916,0
2016-10-06 09:00:00,9,1.6625136,1.2304999,16.6780169746748,0.06111,0.05556,0.00606,0.00042,0.00042,0,0.27875264,0.29069556,0.28539614,0.21260477,0
2016-10-06 10:00:00,10,1.6714651,1.2387105,18.2593161450766,0.4232,0.42124,0.00202,0.00417,0.00417,0,0.28664941,0.29085886,0.28546358,0.21260477,0
2016-10-06 11:00:00,11,1.6653787,1.2444331,17.7946154965468,0.11669,0.11344,0.00381,0.00076,0.00056,0,0.28841199,0.29086819,0.28544953,0.21260477,0
2016-10-06 12:00:00,12,1.6726547,1.2469017,17.6149437883097,0.00433,0,0.00426,0,0,0,0.28839705,0.29086819,0.28544391,0.21260477,0
2016-10-06 13:00:00,13,1.6696128,1.2446931,17.8077851505538,0.00096,0,0.00112,0,0,0,0.2883622,0.29086819,0.28543829,0.21261985,6494.85378359
2016-10-06 14:00:00,14,1.671234,1.2395303,18.5584554289479,0.00048,0,9e-04,0,0,0,0.28830245,0.29087285,0.28543548,0.21261985,144683.23215784
2016-10-06 15:00:00,15,1.6776081,1.2423511,19.8876497940744,0.00048,0,0.00045,0,0,0,0.28811823,0.29084019,0.28542986,0.21261985,410972.23728503
2016-10-06 16:00:00,16,1.6745364,1.2411668,20.7126345486504,0.00072,0,0.00067,0,0,0,0.28767011,0.29075621,0.28541019,0.21261985,659342.81601636
